,propensity,flux intensity,Type
22RV1_PROSTATE,0.3547,14.794441797783064,PROSTATE
2313287_STOMACH,0.3046,13.072794858340105,STOMACH
5637_URINARY_TRACT,0.5422,12.879744410757423,URINARY TRACT
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5623,10.43019796872862,HAEMATOPOIETIC AND LYMPHOID TISSUE
769P_KIDNEY,0.4553,17.51455618606177,KIDNEY
786O_KIDNEY,0.4685,16.73639953351371,KIDNEY
8305C_THYROID,0.5846,10.297786894753544,THYROID
A2780_OVARY,0.5813,9.944028979023445,OVARY
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5387,7.111268656964021,HAEMATOPOIETIC AND LYMPHOID TISSUE
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5379,7.206611717444733,HAEMATOPOIETIC AND LYMPHOID TISSUE
ACCMESO1_PLEURA,0.6058,9.945966854383885,PLEURA
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5547,7.424468204821726,HAEMATOPOIETIC AND LYMPHOID TISSUE
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5371,7.301150521585894,HAEMATOPOIETIC AND LYMPHOID TISSUE
ASPC1_PANCREAS,0.4369,22.5135799017329,PANCREAS
AU565_BREAST,0.3623,11.263629010678809,BREAST
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5386,7.19899983504501,HAEMATOPOIETIC AND LYMPHOID TISSUE
BCPAP_THYROID,0.5842,10.426663630493309,THYROID
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5541,7.447154513170172,HAEMATOPOIETIC AND LYMPHOID TISSUE
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5433,7.106456762454075,HAEMATOPOIETIC AND LYMPHOID TISSUE
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5464,7.051441338258944,HAEMATOPOIETIC AND LYMPHOID TISSUE
BT483_BREAST,0.3674,10.702390515392844,BREAST
BT549_BREAST,0.5834,10.1610535059189,BREAST
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5747,10.369811392745545,HAEMATOPOIETIC AND LYMPHOID TISSUE
BXPC3_PANCREAS,0.4712,15.785196031218613,PANCREAS
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5524,7.120726709276538,HAEMATOPOIETIC AND LYMPHOID TISSUE
CADOES1_BONE,0.3983,12.969261802931992,BONE
CAL78_BONE,0.4647,13.821073327243914,BONE
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0.4684,14.360372568585026,CENTRAL NERVOUS SYSTEM
CHAGOK1_LUNG,0.4813,12.95425645075491,LUNG
CHP126_AUTONOMIC_GANGLIA,0.3443,17.289207578626495,AUTONOMIC GANGLIA
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4432,18.46525552993495,HAEMATOPOIETIC AND LYMPHOID TISSUE
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5552,7.375227061411158,HAEMATOPOIETIC AND LYMPHOID TISSUE
COLO201_LARGE_INTESTINE,0.3597,18.53314006176004,LARGE INTESTINE
COLO320_LARGE_INTESTINE,0.4719,12.458408344654474,LARGE INTESTINE
COLO668_LUNG,0.4777,8.188207855481574,LUNG
COLO678_LARGE_INTESTINE,0.3756,19.59294353081608,LARGE INTESTINE
COLO679_SKIN,0.6105,10.906832471033187,SKIN
COLO680N_OESOPHAGUS,0.4552,12.715322612826151,OESOPHAGUS
COLO684_ENDOMETRIUM,0.3747,15.223756193985372,ENDOMETRIUM
COLO741_SKIN,0.6169,10.76162044791503,SKIN
COLO783_SKIN,0.6169,10.74625578419917,SKIN
COLO792_SKIN,0.6196,10.69908243649366,SKIN
COLO800_SKIN,0.615,11.043790945626622,SKIN
COLO829_SKIN,0.6138,10.936067641266078,SKIN
CORL105_LUNG,0.4434,16.82622860224485,LUNG
CORL23_LUNG,0.4755,16.062480404245747,LUNG
CORL24_LUNG,0.4529,12.481051727289232,LUNG
CORL279_LUNG,0.4723,11.045315055893695,LUNG
CORL311_LUNG,0.3824,14.379575416069676,LUNG
CORL47_LUNG,0.4724,10.650715259493316,LUNG
CORL88_LUNG,0.4829,9.78641029707311,LUNG
CORL95_LUNG,0.4736,8.800059137576003,LUNG
COV434_OVARY,0.5778,9.686575214076482,OVARY
CW2_LARGE_INTESTINE,0.3218,15.472657202525612,LARGE INTESTINE
DANG_PANCREAS,0.4722,16.077420235025276,PANCREAS
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5522,7.005747141145758,HAEMATOPOIETIC AND LYMPHOID TISSUE
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,0.4677,14.08365481887262,CENTRAL NERVOUS SYSTEM
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5595,6.913432256779281,HAEMATOPOIETIC AND LYMPHOID TISSUE
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5685,7.91017054389723,HAEMATOPOIETIC AND LYMPHOID TISSUE
DKMG_CENTRAL_NERVOUS_SYSTEM,0.4624,14.320691959020962,CENTRAL NERVOUS SYSTEM
DMS79_LUNG,0.4715,11.225697504357532,LUNG
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5535,7.398019387719448,HAEMATOPOIETIC AND LYMPHOID TISSUE
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5504,7.125988366691272,HAEMATOPOIETIC AND LYMPHOID TISSUE
DU4475_BREAST,0.3259,12.96293646929288,BREAST
DV90_LUNG,0.3045,13.683953687785724,LUNG
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5473,7.368800574858514,HAEMATOPOIETIC AND LYMPHOID TISSUE
ECC10_STOMACH,0.3685,12.663369769095697,STOMACH
ECC12_STOMACH,0.4792,8.20336788273121,STOMACH
EFE184_ENDOMETRIUM,0.4129,20.02216299031825,ENDOMETRIUM
EFM192A_BREAST,0.3644,11.029436755088774,BREAST
EFM19_BREAST,0.3668,10.791073027351118,BREAST
EFO21_OVARY,0.3943,21.43391436590532,OVARY
EFO27_OVARY,0.4462,16.891164758243143,OVARY
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5517,7.342130786318791,HAEMATOPOIETIC AND LYMPHOID TISSUE
EKVX_LUNG,0.4555,16.627988946824928,LUNG
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5362,7.626163509981267,HAEMATOPOIETIC AND LYMPHOID TISSUE
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5374,7.601394924390159,HAEMATOPOIETIC AND LYMPHOID TISSUE
EPLC272H_LUNG,0.5805,11.553756311960926,LUNG
ESS1_ENDOMETRIUM,0.4984,13.249386092822446,ENDOMETRIUM
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4392,19.267994325570623,HAEMATOPOIETIC AND LYMPHOID TISSUE
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5444,7.101266949058673,HAEMATOPOIETIC AND LYMPHOID TISSUE
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.5542,7.935849858271572,HAEMATOPOIETIC AND LYMPHOID TISSUE
GSS_STOMACH,0.4487,12.18226240622274,STOMACH
GSU_STOMACH,0.3056,13.254127971520818,STOMACH
HARA_LUNG,0.587,11.62286171876433,LUNG
HCC1143_BREAST,0.3944,16.8690019936805,BREAST
HCC1171_LUNG,0.3944,19.826536040143644,LUNG
HCC1187_BREAST,0.3746,15.288807219796912,BREAST
HCC1195_LUNG,0.4025,19.901654521818845,LUNG
HCC1359_LUNG,0.5781,9.218864515748908,LUNG
HCC1395_BREAST,0.4751,13.735099638330556,BREAST
HCC1419_BREAST,0.3678,10.771826055839991,BREAST
HCC1428_BREAST,0.3626,10.90032289063586,BREAST
