,propensity,fdr,n_samples,ensembl_id
ARMCX6,0.1821994301473896,0.022147868470880756,346.0,ENSG00000198960
BCL2L1,0.30493901668480394,5.186269172347128e-06,346.0,ENSG00000171552
CD19,-0.2153214463284414,0.004020817684206366,346.0,ENSG00000177455
CTBP2,0.17309262205709466,0.03245830387993225,346.0,ENSG00000175029
DLG5,0.17763430414374362,0.026940533629705523,346.0,ENSG00000151208
HORMAD1,-0.2036138158798344,0.007189382319720974,346.0,ENSG00000143452
HTR7,0.20818589678236793,0.005708817541971948,346.0,ENSG00000148680
KISS1,-0.17393350952373693,0.03139040088859636,346.0,ENSG00000170498
MYBL2,0.1858999299511125,0.018591101181887244,346.0,ENSG00000101057
AARS2,-0.1641208323101251,0.04538498520683505,346.0,ENSG00000124608
ABHD3,0.16691862879376754,0.040878714490174495,346.0,ENSG00000158201
ABI1,0.18465435105742295,0.019610894409449554,346.0,ENSG00000136754
ABI3,-0.18809608661013144,0.01662411289222972,346.0,ENSG00000108798
ABT1,-0.19762768325728242,0.010141070590704375,346.0,ENSG00000146109
ACACB,0.16846247760700858,0.03861201997817472,346.0,ENSG00000076555
ACLY,-0.263812030992566,0.00018552806184683081,346.0,ENSG00000131473
ACOD1,-0.17225192350768936,0.033501974564620424,346.0,ENSG00000102794
ACOT4,-0.1730760522714257,0.03245830387993225,346.0,ENSG00000177465
ACSL3,-0.20954212559121377,0.0052973032128216975,346.0,ENSG00000123983
ACSL4,-0.20996590790225853,0.005198254570677925,346.0,ENSG00000068366
ACSS2,-0.21425483798477582,0.004245321977701899,346.0,ENSG00000131069
ADAMTSL1,0.18665271609304687,0.017894915693251908,346.0,ENSG00000178031
AFF1,-0.18818977674911164,0.016546969211596915,346.0,ENSG00000172493
AGAP6,0.17785022591796848,0.026874883723578255,346.0,ENSG00000204149
AGO4,0.16247347507645632,0.04851686865510644,346.0,ENSG00000134698
AGR2,0.18513633548324565,0.019174868385672162,346.0,ENSG00000106541
AGR3,0.16817393133568823,0.03889183846387774,346.0,ENSG00000173467
AHCTF1,0.19171185672242827,0.01391877179083661,346.0,ENSG00000153207
AHSG,-0.20340664310802736,0.007284866561443019,346.0,ENSG00000145192
AJUBA,-0.16817912655338607,0.03889183846387774,346.0,ENSG00000129474
AK2,-0.2772339061057023,6.136786629923521e-05,346.0,ENSG00000004455
AKAP1,-0.18910877807575852,0.015883674650104602,346.0,ENSG00000121057
AKAP13,-0.22388064204365357,0.0025182406250365366,346.0,ENSG00000170776
AKT1,0.17092092746948195,0.03523750132231208,346.0,ENSG00000142208
ALAD,-0.17206395365886548,0.03368453054744756,346.0,ENSG00000148218
ALAS1,-0.1770678940859149,0.027294952053447983,346.0,ENSG00000023330
ALDOB,0.17319049752902738,0.03241297027615675,346.0,ENSG00000136872
ALG1,-0.27402522360211634,7.650493487682154e-05,346.0,ENSG00000033011
ALG10B,0.17278923463189197,0.03288456038931589,346.0,ENSG00000175548
ALG13,-0.20578205213978468,0.006439515862971094,346.0,ENSG00000101901
ALKAL2,0.16831077302968284,0.03883326052125761,346.0,ENSG00000189292
AMOT,-0.16293267529104508,0.04776953467933589,346.0,ENSG00000126016
ANKRD12,0.1753156928532466,0.02946307663431496,346.0,ENSG00000101745
ANKRD26,-0.21772991277049453,0.0035725179204673307,346.0,ENSG00000107890
ANKRD30A,0.1725215552196913,0.033142109645580654,346.0,ENSG00000148513
ANP32A,0.18011639404402346,0.024302886245220548,346.0,ENSG00000140350
ANXA5,-0.16428707912344254,0.04508569312114026,346.0,ENSG00000164111
AP1M1,-0.23464115430662263,0.0013023025220870923,346.0,ENSG00000072958
AP3M1,0.17311796393946546,0.03245830387993225,346.0,ENSG00000185009
AP3S2,0.18973749834239706,0.015322112665687152,346.0,ENSG00000157823
APLF,-0.1677157513105382,0.03951159624743404,346.0,ENSG00000169621
AQP5,-0.20029189620954907,0.008827278451614002,346.0,ENSG00000161798
ARAP2,-0.1980062635940723,0.010008838777530843,346.0,ENSG00000047365
ARFRP1,-0.2049745643976974,0.006657643478855638,346.0,ENSG00000101246
ARHGAP45,-0.20230690043945276,0.007819076941855555,346.0,ENSG00000180448
ARHGEF39,-0.17306323267831875,0.03245830387993225,346.0,ENSG00000137135
ARL2,-0.19791778341643718,0.010049831653517149,346.0,ENSG00000213465
ARL2BP,0.1704916655197759,0.03569420546492268,346.0,ENSG00000102931
ARSD,-0.21973062926866255,0.003178295286577134,346.0,ENSG00000006756
ARTN,-0.1781513558635021,0.026787736179114893,346.0,ENSG00000117407
ATF4,0.17236095455589073,0.03336100079094043,346.0,ENSG00000128272
ATP1B3,-0.35055895079680943,3.23225686214311e-08,346.0,ENSG00000069849
ATP6V0C,0.1715336128312111,0.03435712919610281,346.0,ENSG00000185883
ATP6V1B2,-0.16319743872200515,0.04742852233120798,346.0,ENSG00000147416
ATXN3,0.20645930315151964,0.0062545954575951345,346.0,ENSG00000066427
AVPR2,0.16397251484933756,0.04568250634135275,346.0,ENSG00000126895
BABAM1,-0.16221033529059958,0.04900815242569816,346.0,ENSG00000105393
BBS10,-0.19647422901016112,0.01078336396196994,346.0,ENSG00000179941
BBS12,-0.1713396218430851,0.034655942299297283,346.0,ENSG00000181004
BCL2,-0.19454034665097508,0.011814212881039362,346.0,ENSG00000171791
BCL2L10,0.18037457949236113,0.023957035872377276,346.0,ENSG00000137875
BCL7C,-0.16336410566828308,0.04704797838243138,346.0,ENSG00000099385
BCL9L,0.2689171972080071,0.00011926280913644835,346.0,ENSG00000186174
BEND6,0.20108310931959994,0.008400758100180018,346.0,ENSG00000151917
BIRC6,0.19583707658179744,0.011170387459035596,346.0,ENSG00000115760
BMPR1A,0.20506425110245033,0.006630688582504793,346.0,ENSG00000107779
BPIFB6,0.1753213470978689,0.02946307663431496,346.0,ENSG00000167104
BPNT1,0.16636153598286058,0.041619898155674476,346.0,ENSG00000162813
BPTF,-0.23279801380905768,0.0014737593547642183,346.0,ENSG00000171634
BRAF,-0.19516662461934026,0.011571972066689579,346.0,ENSG00000157764
BRD2,-0.20932154253653645,0.005337621821635504,346.0,ENSG00000204256
BRIP1,-0.16520447754834708,0.04354006678191687,346.0,ENSG00000136492
BTF3,-0.16514195713833518,0.04354006678191687,346.0,ENSG00000145741
BTN2A1,-0.20802504861484367,0.005723799791521841,346.0,ENSG00000112763
BTNL3,-0.18549851687537186,0.018909266322016165,346.0,ENSG00000168903
C16orf87,0.2493564577520166,0.000499377069390999,346.0,ENSG00000155330
C18orf21,-0.2183783736766305,0.003461450545674057,346.0,ENSG00000141428
C18orf32,0.20450633100764404,0.006864627889584695,346.0,ENSG00000177576
AIRIM,-0.27854943959658707,5.723709128460264e-05,346.0,
C1orf122,0.18230415479413342,0.02207456140597739,346.0,ENSG00000197982
C4orf19,0.16435319592960557,0.04499880512430297,346.0,ENSG00000154274
C5orf15,0.16317653568082668,0.04742852233120798,346.0,ENSG00000113583
C8orf33,0.1806910508786702,0.023603047734594915,346.0,ENSG00000182307
CAGE1,-0.19100505973729587,0.014434416444377717,346.0,ENSG00000164304
CAPZB,0.22065581163206732,0.003083516045920633,346.0,ENSG00000077549
CASP7,0.24489975873216407,0.0006834247168062932,346.0,ENSG00000165806
CBFB,-0.18828974734421855,0.016502374328454597,346.0,ENSG00000067955
CBLC,-0.17081760771509708,0.03533401865753204,346.0,ENSG00000142273
CCDC174,0.18694966992651663,0.01760757826714716,346.0,ENSG00000154781
CCDC22,-0.21006256333952317,0.005198254570677925,346.0,ENSG00000101997
CCDC47,-0.23565753078483026,0.0012139920439356677,346.0,ENSG00000108588
CCDC6,-0.2536160480557697,0.00038246958344462576,346.0,ENSG00000108091
CCDC87,0.20049168538588535,0.008717431740555006,346.0,ENSG00000182791
CCL13,0.16995008956838348,0.0362755400576505,346.0,ENSG00000181374
CCL23,0.18136927667297464,0.0229841805619813,346.0,ENSG00000274736
CCM2,-0.21733947590669953,0.00363727300706456,346.0,ENSG00000136280
CCND1,0.17511458987660922,0.029773517917577857,346.0,ENSG00000110092
CCND3,-0.24242056781341942,0.0008199900895303542,346.0,ENSG00000112576
CCNT1,-0.28342280936553066,3.863851728458227e-05,346.0,ENSG00000129315
CCT8,-0.2387379445952202,0.0010033380383314776,346.0,ENSG00000156261
CD300LG,-0.17535587263616692,0.02946307663431496,346.0,ENSG00000161649
CD79A,-0.2007387720177224,0.008601281101899285,346.0,ENSG00000105369
CDAN1,-0.19468944067394114,0.011814212881039362,346.0,ENSG00000140326
CDC20,0.19410264339085959,0.012111116113914628,346.0,ENSG00000117399
CDC42,-0.1735162135063607,0.0320193268154704,346.0,ENSG00000070831
CDC42BPG,-0.1631306456898799,0.04742852233120798,346.0,ENSG00000171219
CDC6,0.21773408265450075,0.0035725179204673307,346.0,ENSG00000094804
CDC7,0.26051542274307915,0.00023913628209971862,346.0,ENSG00000097046
CDCA2,0.19843432920733983,0.00982576257324666,346.0,ENSG00000184661
CDIN1,-0.17706581549746914,0.027294952053447983,346.0,ENSG00000186073
CDIPT,-0.19708707932866254,0.01045506733178255,346.0,ENSG00000103502
CDK1,0.16744718526309993,0.04000457393703445,346.0,ENSG00000170312
CDK2,0.18095986622745128,0.023409531535171765,346.0,ENSG00000123374
CDK3,-0.17083469945893165,0.03533401865753204,346.0,ENSG00000250506
CDK6,-0.21694445885508434,0.0037143133505674747,346.0,ENSG00000105810
CDK7,-0.2346734441387217,0.0013023025220870923,346.0,ENSG00000134058
CDK9,-0.23324776884379056,0.0014255133225069179,346.0,ENSG00000136807
CDR2L,-0.17039087666541586,0.03569420546492268,346.0,ENSG00000109089
CDS2,-0.37443765275159746,1.8037270298973146e-09,346.0,ENSG00000101290
CDX2,0.19579289552818038,0.011179848338697524,346.0,ENSG00000165556
CEBPZ,-0.19157739712097424,0.014024556972675614,346.0,ENSG00000115816
CENATAC,0.17125204505644206,0.03480852642472345,346.0,ENSG00000186166
CENPT,0.2055390564205335,0.00650413286986798,346.0,ENSG00000102901
CEP20,-0.16805356252055575,0.038958316761098656,346.0,ENSG00000133393
CEP55,-0.2856004472633713,3.206649121242435e-05,346.0,ENSG00000138180
CEP76,-0.256838587286429,0.0003165489668389623,346.0,ENSG00000101624
CFAP298,0.203866347339072,0.007110816035121087,346.0,ENSG00000159079
CFAP69,-0.17655464452238867,0.02784294296356005,346.0,ENSG00000105792
CFAP97,-0.2310105405266502,0.0016249361336697645,346.0,ENSG00000164323
CFL1,-0.177400899785695,0.027142236464547102,346.0,ENSG00000172757
CGAS,-0.25337961555213556,0.0003838819613201101,346.0,ENSG00000164430
CHD4,0.17405025325230483,0.03127015245870049,346.0,ENSG00000111642
CHMP1A,0.1719249351307126,0.033853657869263566,346.0,ENSG00000131165
