Feature_Index,Feature_Name,Stability_Score
0,ENSG00000000003,0.0
1,ENSG00000000938,0.1
2,ENSG00000000971,0.0
3,ENSG00000001561,0.0
4,ENSG00000001617,0.0
5,ENSG00000001626,0.0
6,ENSG00000002586,0.0
7,ENSG00000002822,0.0
8,ENSG00000002834,0.0
9,ENSG00000002933,0.0
10,ENSG00000003096,0.0
11,ENSG00000003147,1.0
12,ENSG00000003249,0.0
13,ENSG00000003393,0.0
14,ENSG00000003400,0.0
15,ENSG00000003402,0.0
16,ENSG00000003436,0.0
17,ENSG00000004139,0.0
18,ENSG00000004399,0.0
19,ENSG00000004660,0.6
20,ENSG00000004777,0.0
21,ENSG00000004846,0.0
22,ENSG00000004866,0.0
23,ENSG00000005001,0.0
24,ENSG00000005020,0.0
25,ENSG00000005059,0.0
26,ENSG00000005073,0.0
27,ENSG00000005189,0.0
28,ENSG00000005206,0.0
29,ENSG00000005238,0.0
30,ENSG00000005243,0.0
31,ENSG00000005249,0.0
32,ENSG00000005379,0.0
33,ENSG00000005448,0.0
34,ENSG00000005486,0.0
35,ENSG00000005844,0.3
36,ENSG00000005884,0.0
37,ENSG00000005893,0.0
38,ENSG00000005961,0.0
39,ENSG00000006042,0.0
40,ENSG00000006047,0.0
41,ENSG00000006062,0.0
42,ENSG00000006075,0.0
43,ENSG00000006118,0.0
44,ENSG00000006210,0.0
45,ENSG00000006282,0.0
46,ENSG00000006327,0.0
47,ENSG00000006377,0.0
48,ENSG00000006432,0.0
49,ENSG00000006453,0.0
50,ENSG00000006459,0.0
51,ENSG00000006468,0.0
52,ENSG00000006555,0.0
53,ENSG00000006606,0.0
54,ENSG00000006607,0.0
55,ENSG00000006611,0.1
56,ENSG00000006704,0.4
57,ENSG00000006740,0.0
58,ENSG00000006747,0.0
59,ENSG00000007038,0.0
60,ENSG00000007062,0.0
61,ENSG00000007129,0.0
62,ENSG00000007237,0.0
63,ENSG00000007255,0.0
64,ENSG00000007264,0.0
65,ENSG00000007312,0.0
66,ENSG00000007341,0.0
67,ENSG00000007372,0.0
68,ENSG00000007384,0.0
69,ENSG00000007402,0.0
70,ENSG00000007516,0.0
71,ENSG00000007866,0.0
72,ENSG00000007968,0.0
73,ENSG00000008056,0.0
74,ENSG00000008083,0.0
75,ENSG00000008196,0.0
76,ENSG00000008256,0.0
77,ENSG00000008277,0.0
78,ENSG00000008282,0.0
79,ENSG00000008283,0.0
80,ENSG00000008300,0.0
81,ENSG00000008323,0.0
82,ENSG00000008405,0.0
83,ENSG00000008441,0.0
84,ENSG00000008517,0.0
85,ENSG00000008735,0.0
86,ENSG00000008853,0.0
87,ENSG00000009790,0.0
88,ENSG00000009950,0.0
89,ENSG00000010278,0.0
90,ENSG00000010295,0.0
91,ENSG00000010310,0.7
92,ENSG00000010318,0.0
93,ENSG00000010327,0.0
94,ENSG00000010361,0.0
95,ENSG00000010438,0.0
96,ENSG00000010610,0.0
97,ENSG00000010671,0.0
98,ENSG00000010704,0.0
99,ENSG00000010803,0.0
100,ENSG00000010810,0.0
101,ENSG00000011028,0.0
102,ENSG00000011105,0.0
103,ENSG00000011201,0.0
104,ENSG00000011258,0.0
105,ENSG00000011332,0.0
106,ENSG00000011347,0.0
107,ENSG00000011422,0.0
108,ENSG00000011426,0.0
109,ENSG00000011465,0.0
110,ENSG00000011566,0.0
111,ENSG00000011590,0.0
112,ENSG00000011600,0.0
113,ENSG00000011638,0.0
114,ENSG00000011677,1.0
115,ENSG00000012124,0.0
116,ENSG00000012171,0.0
117,ENSG00000012174,0.0
118,ENSG00000012817,0.0
119,ENSG00000013016,0.0
120,ENSG00000013293,0.0
121,ENSG00000013297,0.0
122,ENSG00000013364,0.0
123,ENSG00000013583,0.0
124,ENSG00000013588,0.0
125,ENSG00000013619,0.0
126,ENSG00000013725,0.0
127,ENSG00000014216,0.1
128,ENSG00000014914,0.0
129,ENSG00000015133,0.0
130,ENSG00000015171,0.0
131,ENSG00000015285,0.0
132,ENSG00000015568,0.0
133,ENSG00000015592,0.0
134,ENSG00000016082,0.0
135,ENSG00000016402,0.0
136,ENSG00000017373,0.0
137,ENSG00000017427,0.0
138,ENSG00000018189,0.0
139,ENSG00000018236,0.0
140,ENSG00000018408,0.0
141,ENSG00000019102,0.0
142,ENSG00000019144,0.0
143,ENSG00000019505,1.0
144,ENSG00000019549,0.4
145,ENSG00000019582,1.0
146,ENSG00000019991,0.0
147,ENSG00000020181,0.0
148,ENSG00000020577,0.0
149,ENSG00000020633,0.0
150,ENSG00000021300,0.0
151,ENSG00000021355,0.0
152,ENSG00000021645,0.0
153,ENSG00000021762,0.0
154,ENSG00000022267,0.0
155,ENSG00000022556,0.0
156,ENSG00000022567,0.0
157,ENSG00000023171,0.0
158,ENSG00000023445,0.0
159,ENSG00000023608,0.0
160,ENSG00000023892,0.0
161,ENSG00000023902,0.0
162,ENSG00000024422,0.0
163,ENSG00000024526,0.0
164,ENSG00000025039,0.0
165,ENSG00000025156,0.0
166,ENSG00000025434,0.0
167,ENSG00000026025,0.0
168,ENSG00000026103,0.0
169,ENSG00000026297,0.0
170,ENSG00000026508,0.0
171,ENSG00000026559,0.0
172,ENSG00000026751,0.0
173,ENSG00000026950,0.0
174,ENSG00000027075,0.0
175,ENSG00000027869,0.0
176,ENSG00000028116,0.0
177,ENSG00000028137,0.0
178,ENSG00000028277,0.0
179,ENSG00000028839,0.0
180,ENSG00000029153,0.0
181,ENSG00000029534,0.0
182,ENSG00000029993,0.0
183,ENSG00000030419,0.0
184,ENSG00000030582,0.0
185,ENSG00000031081,0.0
186,ENSG00000033327,0.0
187,ENSG00000034053,0.0
188,ENSG00000034063,0.0
189,ENSG00000034510,0.0
190,ENSG00000035115,0.0
191,ENSG00000035403,0.0
192,ENSG00000035664,0.0
193,ENSG00000035720,0.0
194,ENSG00000035862,0.0
195,ENSG00000036448,0.0
196,ENSG00000037042,0.0
197,ENSG00000037965,0.0
198,ENSG00000038382,0.0
199,ENSG00000038427,0.0
200,ENSG00000039068,0.0
201,ENSG00000039139,0.0
202,ENSG00000039319,0.0
203,ENSG00000039523,0.0
204,ENSG00000039560,0.0
205,ENSG00000040275,0.0
206,ENSG00000040608,0.0
207,ENSG00000041353,0.0
208,ENSG00000041982,0.0
209,ENSG00000042062,0.9
210,ENSG00000042286,0.0
211,ENSG00000042445,0.0
212,ENSG00000042493,0.0
213,ENSG00000042980,0.0
214,ENSG00000043039,0.0
215,ENSG00000043143,0.0
216,ENSG00000043355,0.0
217,ENSG00000043462,0.0
218,ENSG00000044115,0.0
219,ENSG00000044459,0.0
220,ENSG00000044524,0.0
221,ENSG00000044574,0.0
222,ENSG00000046604,0.0
223,ENSG00000046653,0.0
224,ENSG00000046774,0.0
225,ENSG00000047346,0.0
226,ENSG00000047365,0.0
227,ENSG00000047597,0.0
228,ENSG00000047634,0.0
229,ENSG00000047644,0.0
230,ENSG00000048052,0.0
231,ENSG00000048140,0.0
232,ENSG00000048342,0.0
233,ENSG00000048462,0.0
234,ENSG00000048471,0.0
235,ENSG00000048540,0.0
236,ENSG00000048740,0.0
237,ENSG00000049089,0.0
238,ENSG00000049130,0.0
239,ENSG00000049192,0.0
240,ENSG00000049245,0.0
241,ENSG00000049246,0.0
242,ENSG00000049249,0.0
243,ENSG00000049283,0.0
244,ENSG00000049323,0.0
245,ENSG00000049449,0.0
246,ENSG00000049540,0.0
247,ENSG00000050165,0.0
248,ENSG00000050327,0.0
249,ENSG00000050344,0.0
250,ENSG00000050405,0.0
251,ENSG00000050628,0.0
252,ENSG00000050767,0.2
253,ENSG00000050820,0.0
254,ENSG00000051108,0.0
255,ENSG00000051128,0.0
256,ENSG00000051523,0.0
257,ENSG00000051620,0.0
258,ENSG00000051825,0.0
259,ENSG00000052126,0.0
260,ENSG00000052344,0.0
261,ENSG00000052795,0.0
262,ENSG00000053254,0.0
263,ENSG00000053438,0.0
264,ENSG00000053747,0.0
265,ENSG00000053918,0.0
266,ENSG00000054219,0.0
267,ENSG00000054356,0.0
268,ENSG00000054523,0.0
269,ENSG00000054598,0.0
270,ENSG00000054654,0.0
271,ENSG00000054690,0.0
272,ENSG00000054793,0.0
273,ENSG00000054965,0.0
274,ENSG00000055118,0.0
275,ENSG00000055163,0.0
276,ENSG00000055211,0.0
277,ENSG00000055732,0.1
278,ENSG00000056487,0.0
279,ENSG00000056558,0.0
280,ENSG00000056661,0.0
281,ENSG00000056736,0.0
282,ENSG00000056972,0.0
283,ENSG00000057019,0.0
284,ENSG00000057294,0.0
285,ENSG00000057657,0.0
286,ENSG00000057704,0.0
287,ENSG00000057935,0.0
288,ENSG00000058085,0.0
289,ENSG00000058091,0.0
290,ENSG00000058404,0.0
291,ENSG00000059728,0.0
292,ENSG00000059915,0.0
293,ENSG00000060138,0.0
294,ENSG00000060140,0.0
295,ENSG00000060558,0.0
296,ENSG00000060656,0.0
297,ENSG00000060709,0.0
298,ENSG00000060718,0.0
299,ENSG00000061273,0.0
300,ENSG00000061337,0.0
301,ENSG00000061656,0.0
302,ENSG00000061676,0.0
303,ENSG00000062038,0.0
304,ENSG00000062370,0.0
305,ENSG00000062524,0.0
306,ENSG00000062716,0.0
307,ENSG00000063015,0.0
308,ENSG00000063180,0.0
309,ENSG00000063438,0.0
310,ENSG00000063660,0.0
311,ENSG00000064012,0.0
312,ENSG00000064042,0.0
313,ENSG00000064195,0.0
314,ENSG00000064199,0.0
315,ENSG00000064201,0.0
316,ENSG00000064205,0.0
317,ENSG00000064300,0.0
318,ENSG00000064309,0.0
319,ENSG00000064393,0.0
320,ENSG00000064547,0.0
321,ENSG00000064607,0.0
322,ENSG00000064652,0.0
323,ENSG00000064655,0.0
324,ENSG00000064666,0.0
325,ENSG00000064687,0.0
326,ENSG00000064692,1.0
327,ENSG00000064787,0.0
328,ENSG00000064886,0.0
329,ENSG00000064961,0.0
330,ENSG00000065054,0.0
331,ENSG00000065308,0.0
332,ENSG00000065320,0.0
333,ENSG00000065361,0.0
