Gene	"Gene description"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"
A4GALT	"Alpha 1,4-galactosyltransferase (P blood group)"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
A4GNT	Alpha-1,4-N-acetylglucosaminyltransferase	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AAAS	"Aladin WD repeat nucleoporin"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AACS	"Acetoacetyl-CoA synthetase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AADAC	"Arylacetamide deacetylase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AADAT	"Aminoadipate aminotransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AANAT	"Aralkylamine N-acetyltransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AARS1	"Alanyl-tRNA synthetase 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
AASDH	"Aminoadipate-semialdehyde dehydrogenase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AASDHPPT	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"
AASS	"Aminoadipate-semialdehyde synthase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABAT	"4-aminobutyrate aminotransferase"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCA1	"ATP binding cassette subfamily A member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCA3	"ATP binding cassette subfamily A member 3"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCA4	"ATP binding cassette subfamily A member 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCA8	"ATP binding cassette subfamily A member 8"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCB1	"ATP binding cassette subfamily B member 1"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCB11	"ATP binding cassette subfamily B member 11"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
ABCB4	"ATP binding cassette subfamily B member 4"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"
