Gene stable ID	Gene type	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene start (bp)	Gene end (bp)	Strand	Chromosome/scaffold name	Gene description
ENSG00000278510	processed_pseudogene	ENSG00000278510.1	ENST00000619806	ENST00000619806.1	1109945	1110235	1	KI270728.1	
ENSG00000273843	processed_pseudogene	ENSG00000273843.1	ENST00000618201	ENST00000618201.1	137798	139135	1	KI270728.1	
ENSG00000288424	transcribed_unprocessed_pseudogene	ENSG00000288424.2	ENST00000672054	ENST00000672054.1	228155	249881	-1	HG1277_PATCH	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23661]
ENSG00000288201	rRNA_pseudogene	ENSG00000288201.1	ENST00000673279	ENST00000673279.1	258744	258859	1	HG1277_PATCH	RNA, 5S ribosomal pseudogene 315 [Source:HGNC Symbol;Acc:HGNC:43215]
ENSG00000288196	transcribed_unprocessed_pseudogene	ENSG00000288196.1	ENST00000673117	ENST00000673117.1	268564	278298	-1	HG1277_PATCH	BMS1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]
ENSG00000288457	unprocessed_pseudogene	ENSG00000288457.2	ENST00000673235	ENST00000673235.2	51131	53245	1	HG1277_PATCH	G protein regulated inducer of neurite outgrowth 2 (GPRIN2) pseudogene
ENSG00000282116	unprocessed_pseudogene	ENSG00000282116.1	ENST00000632854	ENST00000632854.1	19638	22870	-1	HG1342_HG2282_PATCH	PRAME family member 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:51892]
ENSG00000282549	unprocessed_pseudogene	ENSG00000282549.1	ENST00000633303	ENST00000633303.1	107675	109766	1	HG1342_HG2282_PATCH	PRAME family member 29, pseudogene [Source:HGNC Symbol;Acc:HGNC:51891]
ENSG00000282791	unprocessed_pseudogene	ENSG00000282791.1	ENST00000634044	ENST00000634044.1	183679	186470	1	HG1342_HG2282_PATCH	PRAME family member 28, pseudogene [Source:HGNC Symbol;Acc:HGNC:51890]
ENSG00000291404	transcribed_unprocessed_pseudogene	ENSG00000291404.1	ENST00000707429	ENST00000707429.1	20606	32164	-1	HG1343_HG173_HG459_PATCH	anoctamin 7 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:32248]
ENSG00000291377	processed_pseudogene	ENSG00000291377.1	ENST00000707360	ENST00000707360.1	45350	45535	-1	HG1343_HG173_HG459_PATCH	metallothionein 1X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7442]
ENSG00000282258	unprocessed_pseudogene	ENSG00000282258.1	ENST00000632653	ENST00000632653.1	249519	252311	-1	HG1342_HG2282_PATCH	PRAME family member 34, pseudogene [Source:HGNC Symbol;Acc:HGNC:51895]
ENSG00000282562	unprocessed_pseudogene	ENSG00000282562.1	ENST00000633746	ENST00000633746.1	258743	260029	-1	HG1342_HG2282_PATCH	PRAME family member 35, pseudogene [Source:HGNC Symbol;Acc:HGNC:51896]
ENSG00000288388	processed_pseudogene	ENSG00000288388.1	ENST00000672272	ENST00000672272.1	82333	82900	1	HG1395_PATCH	chromosome 1 open reading frame 57 pseudogene
ENSG00000288138	processed_pseudogene	ENSG00000288138.1	ENST00000672943	ENST00000672943.1	84051	85911	1	HG1395_PATCH	nuclear receptor coactivator 4 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:52405]
ENSG00000282468	transcribed_unprocessed_pseudogene	ENSG00000282468.2	ENST00000632119	ENST00000632119.1	283158	285955	1	HG1342_HG2282_PATCH	PRAME family member 36, pseudogene [Source:HGNC Symbol;Acc:HGNC:51897]
ENSG00000291374	processed_pseudogene	ENSG00000291374.1	ENST00000707354	ENST00000707354.1	173285	173665	-1	HG1343_HG173_HG459_PATCH	ribosomal protein L22 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:36804]
ENSG00000282289	unprocessed_pseudogene	ENSG00000282289.1	ENST00000632532	ENST00000632532.1	400203	402992	1	HG1342_HG2282_PATCH	PRAME family member 31, pseudogene [Source:HGNC Symbol;Acc:HGNC:51893]
ENSG00000291402	transcribed_unprocessed_pseudogene	ENSG00000291402.1	ENST00000707427	ENST00000707427.1	278663	295576	-1	HG1343_HG173_HG459_PATCH	CROCC pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:29405]
ENSG00000291394	unprocessed_pseudogene	ENSG00000291394.1	ENST00000707406	ENST00000707406.1	352956	356848	-1	HG1343_HG173_HG459_PATCH	PDE4DIP pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:55099]
ENSG00000282216	unprocessed_pseudogene	ENSG00000282216.1	ENST00000631567	ENST00000631567.1	427879	429967	-1	HG1342_HG2282_PATCH	PRAME family member 32, pseudogene [Source:HGNC Symbol;Acc:HGNC:51894]
ENSG00000291384	processed_pseudogene	ENSG00000291384.1	ENST00000707393	ENST00000707393.1	498552	499059	-1	HG1343_HG173_HG459_PATCH	cyclin-dependent kinase 5 (CDK5) pseudogene
ENSG00000291395	transcribed_unprocessed_pseudogene	ENSG00000291395.1	ENST00000707407	ENST00000707407.1	676471	676813	-1	HG1343_HG173_HG459_PATCH	ring finger protein 123 (RNF123) pseudogene
ENSG00000291397	unprocessed_pseudogene	ENSG00000291397.1	ENST00000707409	ENST00000707409.1	847890	855569	1	HG1343_HG173_HG459_PATCH	phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP) pseudogene
ENSG00000291398	processed_pseudogene	ENSG00000291398.1	ENST00000707410	ENST00000707410.1	850592	851026	1	HG1343_HG173_HG459_PATCH	EIF1AX pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19900]
ENSG00000292230	unprocessed_pseudogene	ENSG00000292230.1	ENST00000710281	ENST00000710281.1	652677	779104	-1	HG1343_HG173_HG459_PATCH	ciliary rootlet coiled-coil, rootletin (CROCC) pseudogene
ENSG00000291403	unprocessed_pseudogene	ENSG00000291403.1	ENST00000707428	ENST00000707428.1	879420	1005754	1	HG1343_HG173_HG459_PATCH	CROCC pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43864]
ENSG00000292231	unprocessed_pseudogene	ENSG00000292231.1	ENST00000710282	ENST00000710282.1	1178785	1193160	1	HG1343_HG173_HG459_PATCH	ciliary rootlet coiled-coil, rootletin (CROCC) pseudogene
